Date,Open,High,Low,Close,Adj Close,Volume
2020-05-20,1.121630,1.121860,1.114800,1.121500,1.121500,0
2020-05-21,1.114200,1.117500,1.111030,1.114330,1.114330,0
2020-05-22,1.116200,1.119580,1.114620,1.116000,1.116000,0
2020-05-25,1.117020,1.119840,1.116700,1.117000,1.117000,0
2020-05-26,1.119100,1.125690,1.118100,1.119200,1.119200,0
2020-05-27,1.123260,1.124830,1.111820,1.123000,1.123000,0
2020-05-28,1.113180,1.115470,1.111760,1.113140,1.113140,0
2020-05-29,1.111930,1.113320,1.104560,1.111980,1.111980,0
2020-06-01,1.110610,1.121220,1.110610,1.110430,1.110430,0
2020-06-02,1.122400,1.127580,1.120900,1.122190,1.122190,0
2020-06-03,1.124400,1.126190,1.119600,1.124530,1.124530,0
2020-06-04,1.119030,1.119610,1.110440,1.119000,1.119000,0
2020-06-05,1.111510,1.125120,1.110200,1.112080,1.112080,0
2020-06-08,1.123580,1.125860,1.120000,1.124080,1.124080,0
2020-06-09,1.126480,1.127630,1.118760,1.126360,1.126360,0
2020-06-10,1.121440,1.125550,1.120800,1.121560,1.121560,0
2020-06-11,1.118210,1.119210,1.109890,1.118190,1.118190,0
2020-06-12,1.113790,1.117350,1.111900,1.113600,1.113600,0
2020-06-15,1.111630,1.115620,1.108060,1.111570,1.111570,0
2020-06-16,1.114530,1.121850,1.113470,1.114520,1.114520,0
2020-06-17,1.116930,1.118520,1.112410,1.116930,1.116930,0
2020-06-18,1.116430,1.116800,1.105970,1.116340,1.116340,0
2020-06-19,1.108300,1.110050,1.102230,1.108510,1.108510,0
2020-06-22,1.104320,1.108500,1.103500,1.104580,1.104580,0
2020-06-23,1.108250,1.108510,1.101450,1.108180,1.108180,0
2020-06-24,1.107210,1.108920,1.102000,1.107040,1.107040,0
2020-06-25,1.103320,1.110780,1.103100,1.103180,1.103180,0
2020-06-26,1.107250,1.107880,1.099170,1.107200,1.107200,0
2020-06-29,1.099380,1.100570,1.089890,1.099570,1.099570,0
2020-06-30,1.094510,1.101160,1.093440,1.094420,1.094420,0
2020-07-01,1.102780,1.108380,1.101250,1.102500,1.102500,0
2020-07-02,1.107800,1.110650,1.107200,1.107690,1.107690,0
2020-07-03,1.109240,1.110400,1.107360,1.109200,1.109200,0
2020-07-06,1.109000,1.109040,1.102700,1.108800,1.108800,0
2020-07-07,1.104610,1.114960,1.104100,1.104430,1.104430,0
2020-07-08,1.112140,1.114070,1.109700,1.112270,1.112270,0
2020-07-09,1.112340,1.117690,1.111000,1.112420,1.112420,0
2020-07-10,1.116870,1.118680,1.114930,1.116580,1.116580,0
2020-07-13,1.116420,1.117660,1.109490,1.116370,1.116370,0
2020-07-14,1.105990,1.106820,1.097200,1.106220,1.106220,0
2020-07-15,1.101590,1.105510,1.101300,1.101430,1.101430,0
2020-07-16,1.102630,1.104110,1.099400,1.102800,1.102800,0
2020-07-17,1.102920,1.103860,1.094600,1.102660,1.102660,0
2020-07-20,1.098640,1.107060,1.094100,1.098510,1.098510,0
2020-07-21,1.105150,1.110800,1.105150,1.105030,1.105030,0
2020-07-22,1.103870,1.104540,1.094420,1.103650,1.103650,0
2020-07-23,1.100540,1.100570,1.095900,1.100510,1.100510,0
2020-07-24,1.097820,1.100490,1.095980,1.097740,1.097740,0
2020-07-27,1.098200,1.098700,1.093060,1.097800,1.097800,0
2020-07-28,1.095260,1.103900,1.094600,1.095090,1.095090,0
2020-07-29,1.102940,1.106630,1.100000,1.102750,1.102750,0
2020-07-30,1.101590,1.108810,1.101300,1.101690,1.101690,0
2020-07-31,1.104650,1.113210,1.103300,1.104820,1.104820,0
2020-08-03,1.111770,1.113130,1.109100,1.111860,1.111860,0
2020-08-04,1.112010,1.112010,1.106000,1.111930,1.111930,0
2020-08-05,1.107500,1.109510,1.103900,1.107430,1.107430,0
2020-08-06,1.105300,1.112820,1.104400,1.105490,1.105490,0
2020-08-07,1.106040,1.108940,1.105900,1.106000,1.106000,0
2020-08-10,1.107710,1.113320,1.107200,1.107670,1.107670,0
2020-08-11,1.113920,1.114760,1.109940,1.113990,1.113990,0
2020-08-12,1.112030,1.112340,1.104300,1.111890,1.111890,0
2020-08-13,1.106000,1.107190,1.104400,1.105900,1.105900,0
2020-08-14,1.105800,1.110660,1.105000,1.106010,1.106010,0
2020-08-17,1.105600,1.106620,1.102200,1.105620,1.105620,0
2020-08-18,1.103670,1.109200,1.103400,1.103530,1.103530,0
2020-08-19,1.109160,1.110520,1.105600,1.109200,1.109200,0
2020-08-20,1.106400,1.112000,1.102500,1.106700,1.106700,0
2020-08-21,1.113660,1.117880,1.109400,1.113650,1.113650,0
2020-08-24,1.109530,1.110770,1.105700,1.109750,1.109750,0
2020-08-25,1.108270,1.112850,1.106620,1.108140,1.108140,0
2020-08-26,1.111090,1.117450,1.110400,1.111180,1.111180,0
2020-08-27,1.116340,1.119810,1.115400,1.116270,1.116270,0
2020-08-28,1.116510,1.121860,1.114100,1.116700,1.116700,0
2020-08-31,1.120600,1.121330,1.114900,1.120500,1.120500,0
2020-09-01,1.119340,1.124910,1.117600,1.119310,1.119310,0
2020-09-02,1.123800,1.126750,1.122690,1.123710,1.123710,0
2020-09-03,1.126400,1.127780,1.120400,1.126630,1.126630,0
2020-09-04,1.120060,1.123150,1.117150,1.120020,1.120020,0
2020-09-07,1.119150,1.119740,1.111940,1.119150,1.119150,0
2020-09-08,1.113540,1.114230,1.104340,1.113100,1.113100,0
2020-09-09,1.101750,1.101750,1.095170,1.101870,1.101870,0
2020-09-10,1.100800,1.101420,1.081200,1.100900,1.100900,0
2020-09-11,1.083150,1.085350,1.076100,1.083090,1.083090,0
2020-09-14,1.081470,1.086480,1.080600,1.081300,1.081300,0
2020-09-15,1.082420,1.087930,1.079800,1.082300,1.082300,0
2020-09-16,1.087600,1.099420,1.086000,1.087300,1.087300,0
2020-09-17,1.097890,1.100730,1.090400,1.097820,1.097820,0
2020-09-18,1.095350,1.096910,1.091400,1.095040,1.095040,0
2020-09-21,1.091520,1.093000,1.087280,1.091630,1.091630,0
2020-09-22,1.089580,1.093480,1.084750,1.089400,1.089400,0
2020-09-23,1.088380,1.094160,1.084500,1.088100,1.088100,0
2020-09-24,1.090440,1.096740,1.089000,1.090690,1.090690,0
2020-09-25,1.092500,1.096390,1.090940,1.092700,1.092700,0
2020-09-28,1.097010,1.107340,1.096620,1.097080,1.097080,0
2020-09-29,1.102200,1.103110,1.093500,1.102170,1.102170,0
2020-09-30,1.095500,1.102670,1.092080,1.095400,1.095400,0
2020-10-01,1.101750,1.103250,1.092390,1.101620,1.101620,0
2020-10-02,1.097070,1.105510,1.096100,1.096900,1.096900,0
2020-10-05,1.102990,1.104390,1.099800,1.103170,1.103170,0
2020-10-06,1.101960,1.103540,1.095930,1.101840,1.101840,0
2020-10-07,1.097590,1.099380,1.092100,1.097400,1.097400,0
2020-10-08,1.097500,1.102380,1.096360,1.097740,1.097740,0
2020-10-09,1.099500,1.101400,1.095730,1.099620,1.099620,0
2020-10-12,1.102500,1.107330,1.101400,1.102710,1.102710,0
2020-10-13,1.105840,1.108450,1.102260,1.105500,1.105500,0
2020-10-14,1.101460,1.110080,1.096400,1.101490,1.101490,0
2020-10-15,1.107570,1.108580,1.102260,1.107600,1.107600,0
2020-10-16,1.102140,1.105520,1.098010,1.101950,1.101950,0
2020-10-19,1.103380,1.107970,1.101440,1.103350,1.103350,0
2020-10-20,1.100110,1.100870,1.093170,1.100180,1.100180,0
2020-10-21,1.095180,1.108920,1.094700,1.094800,1.094800,0
2020-10-22,1.107840,1.109150,1.105470,1.107660,1.107660,0
2020-10-23,1.106940,1.108350,1.100620,1.106750,1.106750,0
2020-10-26,1.101590,1.105750,1.097900,1.101620,1.101620,0
2020-10-27,1.102170,1.105350,1.100400,1.102050,1.102050,0
2020-10-28,1.106000,1.109160,1.101890,1.105900,1.105900,0
2020-10-29,1.105520,1.110050,1.103940,1.105540,1.105540,0
2020-10-30,1.107490,1.112690,1.104300,1.107200,1.107200,0
2020-11-02,1.110230,1.111550,1.105100,1.110210,1.110210,0
2020-11-03,1.109700,1.114870,1.108000,1.109900,1.109900,0
2020-11-04,1.116100,1.117410,1.106700,1.115310,1.115310,0
2020-11-05,1.104770,1.111290,1.102600,1.104960,1.104960,0
2020-11-06,1.111950,1.111950,1.104450,1.111710,1.111710,0
2020-11-09,1.108030,1.112400,1.105170,1.108150,1.108150,0
2020-11-10,1.113600,1.125400,1.113400,1.113640,1.113640,0
2020-11-11,1.121850,1.128390,1.121100,1.121930,1.121930,0
2020-11-12,1.122640,1.122640,1.111300,1.122400,1.122400,0
2020-11-13,1.111540,1.115130,1.110500,1.111520,1.111520,0
2020-11-16,1.116010,1.116500,1.111600,1.116000,1.116000,0
2020-11-17,1.114830,1.117240,1.113200,1.114740,1.114740,0
2020-11-18,1.117430,1.121510,1.115900,1.117320,1.117320,0
2020-11-19,1.118310,1.120390,1.115670,1.118820,1.118820,0
2020-11-20,1.116440,1.121050,1.115700,1.116390,1.116390,0
2020-11-23,1.121020,1.127670,1.120500,1.121100,1.121100,0
2020-11-24,1.125010,1.126700,1.122170,1.124900,1.124900,0
2020-11-25,1.123050,1.124640,1.118760,1.123050,1.123050,0
2020-11-26,1.122800,1.123110,1.119260,1.122900,1.122900,0
2020-11-27,1.120980,1.121550,1.112050,1.121020,1.121020,0
2020-11-30,1.113500,1.117570,1.110930,1.113550,1.113550,0
2020-12-01,1.117100,1.119610,1.110320,1.117070,1.117070,0
2020-12-02,1.111940,1.112710,1.100820,1.111770,1.111770,0
2020-12-03,1.103500,1.111070,1.102900,1.103500,1.103500,0
2020-12-04,1.107540,1.113070,1.102800,1.107100,1.107100,0
2020-12-07,1.106720,1.107430,1.094100,1.106760,1.106760,0
2020-12-08,1.102940,1.103510,1.096900,1.102400,1.102400,0
2020-12-09,1.103630,1.112880,1.101200,1.103300,1.103300,0
2020-12-10,1.106380,1.108040,1.093960,1.106380,1.106380,0
2020-12-11,1.095290,1.096830,1.083440,1.095500,1.095500,0
2020-12-14,1.097490,1.105300,1.096600,1.097490,1.097490,0
2020-12-15,1.096710,1.106240,1.092930,1.097080,1.097080,0
2020-12-16,1.106140,1.111710,1.104340,1.106080,1.106080,0
2020-12-17,1.106910,1.113060,1.106400,1.106950,1.106950,0
2020-12-18,1.106520,1.107060,1.100850,1.106490,1.106490,0
2020-12-21,1.097490,1.098290,1.085030,1.096990,1.096990,0
2020-12-22,1.098800,1.100630,1.092860,1.099170,1.099170,0
2020-12-23,1.099250,1.110210,1.099100,1.099300,1.099300,0
2020-12-24,1.107500,1.116800,1.107300,1.107500,1.107500,0
2020-12-25,1.112200,1.116600,1.110000,1.112300,1.112300,0
2020-12-28,1.111800,1.111970,1.100170,1.111850,1.111850,0
2020-12-29,1.101820,1.103930,1.099890,1.101700,1.101700,0
2020-12-30,1.101200,1.109380,1.100660,1.101500,1.101500,0
2020-12-31,1.108070,1.117610,1.107340,1.108030,1.108030,0
2021-01-01,1.122000,1.127000,1.119000,1.122100,1.122100,0
2021-01-04,1.116920,1.118000,1.105500,1.116900,1.116900,0
2021-01-05,1.107660,1.109170,1.104410,1.107400,1.107400,0
2021-01-06,1.107870,1.108820,1.100730,1.107920,1.107920,0
2021-01-07,1.104030,1.109010,1.101820,1.104050,1.104050,0
2021-01-08,1.105760,1.111830,1.105200,1.105760,1.105760,0
2021-01-11,1.109260,1.111070,1.106590,1.108980,1.108980,0
2021-01-12,1.112080,1.120880,1.111460,1.111920,1.111920,0
2021-01-13,1.119390,1.125520,1.119200,1.119510,1.119510,0
2021-01-14,1.122010,1.127340,1.121400,1.122080,1.122080,0
2021-01-15,1.125800,1.127470,1.122400,1.125800,1.125800,0
2021-01-18,1.124730,1.125200,1.120470,1.124730,1.124730,0
2021-01-19,1.124400,1.125490,1.121100,1.124330,1.124330,0
2021-01-20,1.123920,1.131140,1.123100,1.123930,1.123930,0
2021-01-21,1.128060,1.132410,1.127100,1.128010,1.128010,0
2021-01-22,1.128400,1.128430,1.121240,1.128280,1.128280,0
2021-01-25,1.124710,1.127260,1.124170,1.124730,1.124730,0
2021-01-26,1.126140,1.130150,1.122960,1.126160,1.126160,0
2021-01-27,1.129650,1.134590,1.128800,1.129640,1.129640,0
2021-01-28,1.129450,1.132220,1.125660,1.129240,1.129240,0
2021-01-29,1.132270,1.132980,1.127340,1.132310,1.132310,0
2021-02-01,1.129790,1.135680,1.129600,1.129660,1.129660,0
2021-02-02,1.133100,1.136760,1.131820,1.133000,1.133000,0
2021-02-03,1.134690,1.136490,1.133380,1.134600,1.134600,0
2021-02-04,1.133460,1.142510,1.131200,1.133480,1.133480,0
2021-02-05,1.142470,1.144290,1.139290,1.142600,1.142600,0
2021-02-08,1.140090,1.141220,1.137300,1.140090,1.140090,0
2021-02-09,1.140340,1.141150,1.136630,1.140380,1.140380,0
2021-02-10,1.140170,1.142510,1.138700,1.139990,1.139990,0
2021-02-11,1.141070,1.142360,1.138100,1.141080,1.141080,0
2021-02-12,1.138480,1.143380,1.137200,1.138300,1.138300,0
2021-02-15,1.144160,1.146970,1.143900,1.144080,1.144080,0
2021-02-16,1.146710,1.149510,1.144100,1.146400,1.146400,0
2021-02-17,1.148600,1.151860,1.146700,1.148360,1.148360,0
2021-02-18,1.150990,1.156940,1.149100,1.150970,1.150970,0
2021-02-19,1.155050,1.156780,1.152260,1.155050,1.155050,0
2021-02-22,1.156870,1.158140,1.154400,1.157010,1.157010,0
2021-02-23,1.156460,1.160410,1.155370,1.156300,1.156300,0
2021-02-24,1.161920,1.169530,1.160800,1.161710,1.161710,0
2021-02-25,1.162100,1.163090,1.152700,1.162330,1.162330,0
2021-02-26,1.151630,1.153480,1.145530,1.151870,1.151870,0
2021-03-01,1.155830,1.159900,1.154540,1.155600,1.155600,0
2021-03-02,1.155890,1.157670,1.153600,1.155930,1.155930,0
2021-03-03,1.154440,1.159620,1.153770,1.154550,1.154550,0
2021-03-04,1.155540,1.162960,1.155500,1.155550,1.155550,0
2021-03-05,1.160850,1.162260,1.155730,1.160820,1.160820,0
2021-03-08,1.161200,1.166990,1.160200,1.161540,1.161540,0
2021-03-09,1.166310,1.169400,1.164660,1.166230,1.166230,0
2021-03-10,1.167160,1.169490,1.165400,1.167260,1.167260,0
2021-03-11,1.168000,1.169680,1.165180,1.168100,1.168100,0
2021-03-12,1.167200,1.168920,1.163090,1.167290,1.167290,0
2021-03-15,1.165520,1.168790,1.162840,1.165510,1.165510,0
2021-03-16,1.165280,1.167940,1.157560,1.165100,1.165100,0
2021-03-17,1.167800,1.170680,1.164900,1.167950,1.167950,0
2021-03-18,1.166170,1.171380,1.164870,1.166140,1.166140,0
2021-03-19,1.168130,1.171360,1.164160,1.168290,1.168290,0
2021-03-22,1.163990,1.165790,1.159140,1.163910,1.163910,0
2021-03-23,1.161350,1.162890,1.156720,1.161510,1.161510,0
2021-03-24,1.159910,1.160610,1.156610,1.159530,1.159530,0
2021-03-25,1.158710,1.165270,1.157100,1.158640,1.158640,0
2021-03-26,1.167330,1.171250,1.166600,1.167290,1.167290,0
2021-03-29,1.169700,1.175380,1.167600,1.169820,1.169820,0
2021-03-30,1.170270,1.173120,1.168680,1.170310,1.170310,0
2021-03-31,1.172300,1.175500,1.170900,1.172430,1.172430,0
2021-04-01,1.175520,1.177230,1.171940,1.175200,1.175200,0
2021-04-02,1.174500,1.175920,1.173400,1.174300,1.174300,0
2021-04-05,1.175220,1.180280,1.174700,1.175140,1.175140,0
2021-04-06,1.177040,1.178310,1.168200,1.177000,1.177000,0
2021-04-07,1.164100,1.165140,1.154290,1.164200,1.164200,0
2021-04-08,1.157290,1.159740,1.153300,1.157100,1.157100,0
2021-04-09,1.152590,1.156390,1.149500,1.152400,1.152400,0
2021-04-12,1.152140,1.157260,1.150030,1.152230,1.152230,0
2021-04-13,1.154200,1.157130,1.148320,1.154530,1.154530,0
2021-04-14,1.150600,1.153330,1.149600,1.150940,1.150940,0
2021-04-15,1.149600,1.153210,1.149500,1.149500,1.149500,0
2021-04-16,1.151430,1.154240,1.146800,1.151350,1.151350,0
2021-04-19,1.154400,1.164170,1.153000,1.154100,1.154100,0
2021-04-20,1.161600,1.161870,1.156850,1.161750,1.161750,0
2021-04-21,1.158180,1.160940,1.156850,1.158270,1.158270,0
2021-04-22,1.157000,1.158000,1.148800,1.157220,1.157220,0
2021-04-23,1.151660,1.152990,1.147000,1.151740,1.151740,0
2021-04-26,1.146920,1.151510,1.146800,1.146700,1.146700,0
2021-04-27,1.150120,1.152710,1.149000,1.150000,1.150000,0
2021-04-28,1.149600,1.151120,1.148400,1.149910,1.149910,0
2021-04-29,1.149820,1.152660,1.149000,1.149700,1.149700,0
2021-04-30,1.150430,1.151750,1.147450,1.150470,1.150470,0
2021-05-03,1.148980,1.153780,1.148140,1.148500,1.148500,0
2021-05-04,1.152600,1.156320,1.150600,1.152880,1.152880,0
2021-05-05,1.155870,1.159460,1.155600,1.155790,1.155790,0
2021-05-06,1.158210,1.158730,1.149730,1.158240,1.158240,0
2021-05-07,1.151580,1.153810,1.149400,1.151400,1.151400,0
2021-05-10,1.153570,1.163670,1.152800,1.153520,1.153520,0
2021-05-11,1.163810,1.164440,1.160930,1.163830,1.163830,0
2021-05-12,1.163870,1.168050,1.163000,1.163870,1.163870,0
2021-05-13,1.163800,1.164690,1.160200,1.164110,1.164110,0
2021-05-14,1.162700,1.163190,1.158900,1.162990,1.162990,0
2021-05-17,1.160580,1.162570,1.158430,1.160460,1.160460,0
2021-05-18,1.163700,1.165110,1.161400,1.163700,1.163700,0
2021-05-19,1.160600,1.161220,1.157020,1.160570,1.160570,0
2021-05-20,1.159040,1.160160,1.156920,1.158930,1.158930,0
2021-05-21,1.160270,1.164910,1.158500,1.160190,1.160190,0
2021-05-24,1.160770,1.161660,1.155900,1.160600,1.160600,0
2021-05-25,1.158910,1.159990,1.153100,1.158830,1.158830,0
2021-05-26,1.154680,1.158590,1.154500,1.154670,1.154670,0
2021-05-27,1.157600,1.163390,1.156200,1.157640,1.157640,0
2021-05-28,1.164840,1.165960,1.161890,1.164790,1.164790,0
2021-05-31,1.163100,1.163880,1.160500,1.163140,1.163140,0
2021-06-01,1.162820,1.164470,1.156400,1.162960,1.162960,0
2021-06-02,1.158460,1.162650,1.157570,1.158530,1.158530,0
2021-06-03,1.160630,1.164530,1.159850,1.160560,1.160560,0
2021-06-04,1.162880,1.167330,1.162500,1.163000,1.163000,0
2021-06-07,1.163700,1.165580,1.161020,1.164000,1.164000,0
2021-06-08,1.162800,1.163150,1.159160,1.162730,1.162730,0
2021-06-09,1.162260,1.164110,1.157680,1.162300,1.162300,0
2021-06-10,1.158810,1.163540,1.157000,1.158300,1.158300,0
2021-06-11,1.164030,1.166840,1.161700,1.163970,1.163970,0
2021-06-14,1.165400,1.166450,1.161600,1.165700,1.165700,0
2021-06-15,1.163800,1.164960,1.158900,1.163900,1.163900,0
2021-06-16,1.161360,1.165390,1.160900,1.161000,1.161000,0
2021-06-17,1.165970,1.170540,1.165300,1.166140,1.166140,0
2021-06-18,1.169930,1.170440,1.163500,1.169880,1.169880,0
2021-06-21,1.163910,1.168660,1.162200,1.163820,1.163820,0
2021-06-22,1.168750,1.169810,1.165280,1.168810,1.168810,0
2021-06-23,1.168430,1.172170,1.167400,1.168550,1.168550,0
2021-06-24,1.170480,1.171540,1.163800,1.170670,1.170670,0
2021-06-25,1.166580,1.166930,1.162100,1.166590,1.166590,0
2021-06-28,1.163580,1.167060,1.163100,1.163430,1.163430,0
2021-06-29,1.163380,1.164370,1.161470,1.163200,1.163200,0
2021-06-30,1.163080,1.166880,1.161550,1.162700,1.162700,0
2021-07-01,1.166230,1.167430,1.160710,1.166280,1.166280,0
2021-07-02,1.161400,1.164320,1.161100,1.161440,1.161440,0
2021-07-05,1.166360,1.167830,1.165200,1.166300,1.166300,0
2021-07-06,1.167780,1.171370,1.165700,1.167720,1.167720,0
2021-07-07,1.167460,1.170270,1.165130,1.167540,1.167540,0
2021-07-08,1.169700,1.170120,1.160360,1.169960,1.169960,0
2021-07-09,1.164000,1.168660,1.162900,1.163800,1.163800,0
2021-07-12,1.170470,1.171320,1.167100,1.170590,1.170590,0
2021-07-13,1.170460,1.172130,1.168450,1.170400,1.170400,0
2021-07-14,1.172300,1.175720,1.171000,1.172000,1.172000,0
2021-07-15,1.170910,1.174820,1.166800,1.170950,1.170950,0
2021-07-16,1.170560,1.173050,1.166400,1.170620,1.170620,0
2021-07-19,1.165020,1.166840,1.157200,1.164700,1.164700,0
2021-07-20,1.159060,1.159980,1.153340,1.159080,1.159080,0
2021-07-21,1.157130,1.160810,1.154980,1.157210,1.157210,0
2021-07-22,1.162500,1.169200,1.161200,1.162500,1.162500,0
2021-07-23,1.169780,1.169780,1.164900,1.169820,1.169820,0
2021-07-26,1.168420,1.171220,1.166200,1.168300,1.168300,0
2021-07-27,1.170900,1.174330,1.168500,1.171100,1.171100,0
2021-07-28,1.174470,1.176330,1.172800,1.174290,1.174290,0
2021-07-29,1.173700,1.176350,1.173500,1.173840,1.173840,0
2021-07-30,1.174220,1.174950,1.171730,1.174300,1.174300,0
2021-08-02,1.171050,1.172060,1.168400,1.170890,1.170890,0
2021-08-03,1.169690,1.172490,1.169100,1.169750,1.169750,0
2021-08-04,1.172300,1.175660,1.171800,1.172420,1.172420,0
2021-08-05,1.173290,1.177390,1.172500,1.173280,1.173280,0
2021-08-06,1.176880,1.180420,1.176300,1.176890,1.176890,0
2021-08-09,1.180120,1.181470,1.178200,1.180200,1.180200,0
2021-08-10,1.179670,1.183140,1.178900,1.179770,1.179770,0
2021-08-11,1.180200,1.181500,1.178500,1.180450,1.180450,0
2021-08-12,1.181040,1.181870,1.178300,1.180600,1.180600,0
2021-08-13,1.176750,1.176930,1.173700,1.176770,1.176770,0
2021-08-16,1.175340,1.178240,1.174100,1.175100,1.175100,0
2021-08-17,1.175100,1.175250,1.171400,1.174800,1.174800,0
2021-08-18,1.173300,1.175470,1.171600,1.173000,1.173000,0
2021-08-19,1.174230,1.175560,1.168300,1.174250,1.174250,0
2021-08-20,1.167300,1.167510,1.164800,1.167240,1.167240,0
2021-08-23,1.164730,1.169280,1.163400,1.164400,1.164400,0
2021-08-24,1.168200,1.170510,1.166300,1.168320,1.168320,0
2021-08-25,1.167690,1.169200,1.166800,1.167720,1.167720,0
2021-08-26,1.169040,1.169420,1.165760,1.169160,1.169160,0
2021-08-27,1.165200,1.168090,1.164000,1.165410,1.165410,0
2021-08-30,1.166100,1.167130,1.164700,1.166300,1.166300,0
2021-08-31,1.166260,1.167190,1.163090,1.166220,1.166220,0
2021-09-01,1.164400,1.166110,1.162400,1.164410,1.164410,0
2021-09-02,1.162990,1.165790,1.162400,1.162700,1.162700,0
2021-09-03,1.165140,1.167780,1.163690,1.165190,1.165190,0
2021-09-06,1.165600,1.167190,1.164300,1.165940,1.165940,0
2021-09-07,1.165490,1.166000,1.160800,1.165400,1.165400,0
2021-09-08,1.163390,1.165540,1.162200,1.163370,1.163370,0
2021-09-09,1.164780,1.173000,1.164000,1.164690,1.164690,0
2021-09-10,1.170260,1.173480,1.169900,1.170360,1.170360,0
2021-09-13,1.171400,1.174900,1.171100,1.171530,1.171530,0
2021-09-14,1.171820,1.174880,1.170800,1.171400,1.171400,0
2021-09-15,1.169830,1.172310,1.167900,1.169930,1.169930,0
2021-09-16,1.171400,1.176200,1.169930,1.171610,1.171610,0
2021-09-17,1.172810,1.173300,1.169210,1.172710,1.172710,0
2021-09-20,1.170320,1.170750,1.164100,1.170300,1.170300,0
2021-09-21,1.164920,1.167640,1.163520,1.164930,1.164930,0
2021-09-22,1.164700,1.166180,1.160900,1.164700,1.164700,0
2021-09-23,1.165110,1.171310,1.164000,1.164940,1.164940,0
2021-09-24,1.168400,1.169500,1.166400,1.168670,1.168670,0
2021-09-27,1.165960,1.172490,1.165600,1.165790,1.165790,0
2021-09-28,1.171270,1.172850,1.157360,1.171320,1.171320,0
2021-09-29,1.158600,1.160740,1.154850,1.158700,1.158700,0
2021-09-30,1.157170,1.165670,1.157030,1.157100,1.157100,0
2021-10-01,1.163620,1.170050,1.159400,1.163570,1.163570,0
2021-10-04,1.169020,1.172000,1.166470,1.169030,1.169030,0
2021-10-05,1.171320,1.175850,1.169900,1.171270,1.171270,0
2021-10-06,1.175010,1.177060,1.172760,1.175030,1.175030,0
2021-10-07,1.176210,1.179250,1.173300,1.176170,1.176170,0
2021-10-08,1.178140,1.179280,1.176570,1.178130,1.178130,0
2021-10-11,1.177350,1.180210,1.177040,1.177190,1.177190,0
2021-10-12,1.176470,1.179940,1.173950,1.176000,1.176000,0
2021-10-13,1.177390,1.179950,1.176900,1.177370,1.177370,0
2021-10-14,1.178400,1.182670,1.177900,1.178540,1.178540,0
2021-10-15,1.179200,1.186750,1.178100,1.179000,1.179000,0
2021-10-18,1.186530,1.186840,1.181500,1.186530,1.186530,0
2021-10-19,1.182720,1.187060,1.181300,1.182660,1.182660,0
2021-10-20,1.185670,1.187160,1.181890,1.185400,1.185400,0
2021-10-21,1.186220,1.187200,1.184200,1.185900,1.185900,0
2021-10-22,1.186190,1.187300,1.181380,1.186290,1.186290,0
2021-10-25,1.182200,1.186460,1.181100,1.182270,1.182270,0
2021-10-26,1.185500,1.190000,1.185300,1.185530,1.185530,0
2021-10-27,1.187050,1.187450,1.181470,1.186970,1.186970,0
2021-10-28,1.183850,1.187110,1.181130,1.183740,1.183740,0
2021-10-29,1.180980,1.185440,1.180000,1.180700,1.180700,0
2021-11-01,1.183850,1.184390,1.179300,1.183890,1.183890,0
2021-11-02,1.176900,1.177320,1.174400,1.176900,1.176900,0
2021-11-03,1.175850,1.180140,1.174500,1.175700,1.175700,0
2021-11-04,1.178780,1.181110,1.167560,1.178860,1.178860,0
2021-11-05,1.168800,1.169470,1.163500,1.168700,1.168700,0
2021-11-08,1.165960,1.171420,1.164390,1.166070,1.166070,0
2021-11-09,1.170000,1.173350,1.168100,1.170200,1.170200,0
2021-11-10,1.169570,1.171950,1.168000,1.169200,1.169200,0
2021-11-11,1.167690,1.170230,1.166160,1.167610,1.167610,0
2021-11-12,1.167460,1.171820,1.167100,1.167360,1.167360,0
2021-11-15,1.172440,1.177210,1.171100,1.172490,1.172490,0
2021-11-16,1.179660,1.185340,1.178700,1.179400,1.179400,0
2021-11-17,1.186180,1.192300,1.185100,1.185900,1.185900,0
2021-11-18,1.191730,1.192710,1.186800,1.191400,1.191400,0
2021-11-19,1.187300,1.192340,1.186710,1.187100,1.187100,0
2021-11-22,1.191280,1.193110,1.189800,1.191330,1.191330,0
2021-11-23,1.191300,1.192470,1.185900,1.191670,1.191670,0
2021-11-24,1.189490,1.192490,1.188370,1.189380,1.189380,0
2021-11-25,1.189670,1.190430,1.185200,1.189780,1.189780,0
2021-11-26,1.187660,1.187950,1.176900,1.187500,1.187500,0
2021-11-29,1.181270,1.183600,1.179730,1.181240,1.181240,0
2021-11-30,1.178960,1.180050,1.172600,1.178920,1.178920,0
2021-12-01,1.173420,1.177200,1.172800,1.173350,1.173350,0
2021-12-02,1.172900,1.177160,1.172300,1.172600,1.172600,0
2021-12-03,1.176210,1.177320,1.169900,1.176230,1.176230,0
2021-12-06,1.170690,1.176200,1.170400,1.170740,1.170740,0
2021-12-07,1.175330,1.177860,1.174800,1.175000,1.175000,0
2021-12-08,1.174970,1.175040,1.164750,1.174920,1.174920,0
2021-12-09,1.164340,1.170320,1.163900,1.164270,1.164270,0
2021-12-10,1.170860,1.172330,1.169190,1.170500,1.170500,0
2021-12-13,1.171960,1.176190,1.171100,1.171780,1.171780,0
2021-12-14,1.170910,1.174810,1.169150,1.170920,1.170920,0
2021-12-15,1.175200,1.178170,1.172800,1.175070,1.175070,0
